pattern,support,num_edges,edge_keys
59804c495feae328bfcf0602,0.0714285746216774,4,"[0, 14, 67, 72]"
59804c105feae328bfcf007b,0.3214285671710968,3,"[0, 14, 72]"
59804bf45feae328bfcefea4,0.7142857313156128,2,"[0, 15]"
59804c2c5feae328bfcf02d8,0.1785714328289032,3,"[0, 15, 16]"
59804c495feae328bfcf0599,0.0714285746216774,4,"[0, 15, 16, 37]"
59804c675feae328bfcf09ff,0.0714285746216774,5,"[0, 15, 16, 37, 38]"
59804c675feae328bfcf09fe,0.0714285746216774,5,"[0, 15, 16, 37, 52]"
59804c665feae328bfcf091f,0.0714285746216774,5,"[0, 15, 16, 37, 60]"
59804c675feae328bfcf09a8,0.0714285746216774,5,"[0, 15, 16, 37, 72]"
59804c495feae328bfcf0531,0.0714285746216774,4,"[0, 15, 16, 38]"
59804c675feae328bfcf0a24,0.0714285746216774,5,"[0, 15, 16, 38, 72]"
59804c495feae328bfcf05c9,0.0714285746216774,4,"[0, 15, 16, 46]"
59804c675feae328bfcf09e9,0.0714285746216774,5,"[0, 15, 16, 46, 72]"
59804c495feae328bfcf0530,0.0714285746216774,4,"[0, 15, 16, 52]"
59804c675feae328bfcf0a22,0.0714285746216774,5,"[0, 15, 16, 52, 72]"
59804c495feae328bfcf05e2,0.1785714328289032,4,"[0, 15, 16, 72]"
59804c2c5feae328bfcf02a0,0.1071428582072258,3,"[0, 15, 37]"
59804c495feae328bfcf0575,0.1071428582072258,4,"[0, 15, 37, 38]"
59804c675feae328bfcf0951,0.0714285746216774,5,"[0, 15, 37, 38, 50]"
59804c675feae328bfcf09f7,0.0714285746216774,5,"[0, 15, 37, 38, 59]"
59804c675feae328bfcf0949,0.0714285746216774,5,"[0, 15, 37, 38, 60]"
59804c675feae328bfcf0994,0.1071428582072258,5,"[0, 15, 37, 38, 72]"
59804c495feae328bfcf05a0,0.0714285746216774,4,"[0, 15, 37, 50]"
59804c675feae328bfcf0950,0.0714285746216774,5,"[0, 15, 37, 50, 52]"
59804c665feae328bfcf0923,0.0714285746216774,5,"[0, 15, 37, 50, 59]"
59804c715feae328bfcf0c97,0.0714285746216774,5,"[0, 15, 37, 50, 72]"
59804c495feae328bfcf0573,0.1071428582072258,4,"[0, 15, 37, 52]"
59804c675feae328bfcf09f6,0.0714285746216774,5,"[0, 15, 37, 52, 59]"
59804c675feae328bfcf0948,0.0714285746216774,5,"[0, 15, 37, 52, 60]"
59804c675feae328bfcf0992,0.1071428582072258,5,"[0, 15, 37, 52, 72]"
59804c495feae328bfcf0598,0.0714285746216774,4,"[0, 15, 37, 59]"
59804c675feae328bfcf09a6,0.0714285746216774,5,"[0, 15, 37, 59, 72]"
59804c495feae328bfcf059f,0.0714285746216774,4,"[0, 15, 37, 60]"
59804c715feae328bfcf0c96,0.0714285746216774,5,"[0, 15, 37, 60, 72]"
59804c495feae328bfcf05cc,0.1071428582072258,4,"[0, 15, 37, 72]"
59804c105feae328bfcf004f,0.25,3,"[0, 15, 38]"
59804c495feae328bfcf0529,0.0714285746216774,4,"[0, 15, 38, 59]"
59804c675feae328bfcf0a14,0.0714285746216774,5,"[0, 15, 38, 59, 72]"
59804c495feae328bfcf0543,0.0714285746216774,4,"[0, 15, 38, 63]"
59804c675feae328bfcf09ac,0.0714285746216774,5,"[0, 15, 38, 63, 72]"
59804c495feae328bfcf054f,0.25,4,"[0, 15, 38, 72]"
59804c105feae328bfcf00bf,0.3214285671710968,3,"[0, 15, 46]"
59804c2c5feae328bfcf0317,0.1785714328289032,4,"[0, 15, 46, 52]"
59804c665feae328bfcf091b,0.0714285746216774,5,"[0, 15, 46, 52, 63]"
59804c675feae328bfcf0960,0.1785714328289032,5,"[0, 15, 46, 52, 72]"
59804c495feae328bfcf05c1,0.0714285746216774,4,"[0, 15, 46, 59]"
59804c675feae328bfcf09d8,0.0714285746216774,5,"[0, 15, 46, 59, 72]"
59804c2c5feae328bfcf0304,0.0714285746216774,4,"[0, 15, 46, 63]"
59804c675feae328bfcf09bc,0.0714285746216774,5,"[0, 15, 46, 63, 72]"
59804c2c5feae328bfcf02f3,0.3214285671710968,4,"[0, 15, 46, 72]"
59804c105feae328bfcf004e,0.25,3,"[0, 15, 52]"
59804c495feae328bfcf0528,0.0714285746216774,4,"[0, 15, 52, 59]"
59804c675feae328bfcf0a12,0.0714285746216774,5,"[0, 15, 52, 59, 72]"
59804c495feae328bfcf0542,0.0714285746216774,4,"[0, 15, 52, 63]"
59804c675feae328bfcf09aa,0.0714285746216774,5,"[0, 15, 52, 63, 72]"
59804c495feae328bfcf054e,0.25,4,"[0, 15, 52, 72]"
59804c2c5feae328bfcf02d7,0.1785714328289032,3,"[0, 15, 59]"
59804c495feae328bfcf05e0,0.1785714328289032,4,"[0, 15, 59, 72]"
59804c2c5feae328bfcf02b8,0.0714285746216774,3,"[0, 15, 63]"
59804c675feae328bfcf0940,0.0714285746216774,4,"[0, 15, 63, 72]"
59804c105feae328bfcf0096,0.7142857313156128,3,"[0, 15, 72]"
59804bf45feae328bfcefe5c,0.1785714328289032,2,"[0, 16]"
59804c2c5feae328bfcf0299,0.0714285746216774,3,"[0, 16, 37]"
59804c495feae328bfcf05ee,0.0714285746216774,4,"[0, 16, 37, 38]"
59804c715feae328bfcf0ca6,0.0714285746216774,5,"[0, 16, 37, 38, 60]"
59804c675feae328bfcf09fd,0.0714285746216774,5,"[0, 16, 37, 38, 65]"
59804c675feae328bfcf0974,0.0714285746216774,5,"[0, 16, 37, 38, 72]"
59804c495feae328bfcf05ec,0.0714285746216774,4,"[0, 16, 37, 52]"
59804c715feae328bfcf0ca2,0.0714285746216774,5,"[0, 16, 37, 52, 60]"
59804c675feae328bfcf09fc,0.0714285746216774,5,"[0, 16, 37, 52, 65]"
59804c675feae328bfcf0972,0.0714285746216774,5,"[0, 16, 37, 52, 72]"
59804c675feae328bfcf0996,0.0714285746216774,4,"[0, 16, 37, 60]"
59804c665feae328bfcf091e,0.0714285746216774,5,"[0, 16, 37, 60, 65]"
59804c715feae328bfcf0ca3,0.0714285746216774,5,"[0, 16, 37, 60, 72]"
59804c495feae328bfcf0597,0.0714285746216774,4,"[0, 16, 37, 65]"
59804c675feae328bfcf09a4,0.0714285746216774,5,"[0, 16, 37, 65, 72]"
59804c665feae328bfcf092c,0.0714285746216774,4,"[0, 16, 37, 72]"
59804c2c5feae328bfcf02c8,0.0714285746216774,3,"[0, 16, 38]"
59804c495feae328bfcf052f,0.0714285746216774,4,"[0, 16, 38, 65]"
59804c675feae328bfcf0a20,0.0714285746216774,5,"[0, 16, 38, 65, 72]"
59804c495feae328bfcf058a,0.0714285746216774,4,"[0, 16, 38, 72]"
59804c2c5feae328bfcf02eb,0.0714285746216774,3,"[0, 16, 46]"
59804c495feae328bfcf05c7,0.0714285746216774,4,"[0, 16, 46, 65]"
59804c675feae328bfcf09e5,0.0714285746216774,5,"[0, 16, 46, 65, 72]"
59804c495feae328bfcf05f6,0.0714285746216774,4,"[0, 16, 46, 72]"
59804c2c5feae328bfcf02c7,0.0714285746216774,3,"[0, 16, 52]"
59804c495feae328bfcf052e,0.0714285746216774,4,"[0, 16, 52, 65]"
59804c675feae328bfcf0a1e,0.0714285746216774,5,"[0, 16, 52, 65, 72]"
59804c495feae328bfcf0589,0.0714285746216774,4,"[0, 16, 52, 72]"
59804c2c5feae328bfcf02d6,0.1785714328289032,3,"[0, 16, 65]"
59804c495feae328bfcf05df,0.1785714328289032,4,"[0, 16, 65, 72]"
59804c105feae328bfcf0072,0.1785714328289032,3,"[0, 16, 72]"
59804bf45feae328bfcefe59,0.1071428582072258,2,"[0, 37]"
59804c2c5feae328bfcf02dd,0.1071428582072258,3,"[0, 37, 38]"
59804c675feae328bfcf0935,0.0714285746216774,4,"[0, 37, 38, 50]"
59804c715feae328bfcf0cb1,0.0714285746216774,5,"[0, 37, 38, 50, 59]"
59804c675feae328bfcf094f,0.0714285746216774,5,"[0, 37, 38, 50, 65]"
59804c715feae328bfcf0cbb,0.0714285746216774,5,"[0, 37, 38, 50, 72]"
59804c495feae328bfcf05ea,0.0714285746216774,4,"[0, 37, 38, 59]"
59804c675feae328bfcf09f5,0.0714285746216774,5,"[0, 37, 38, 59, 65]"
59804c675feae328bfcf0970,0.0714285746216774,5,"[0, 37, 38, 59, 72]"
59804c675feae328bfcf0931,0.0714285746216774,4,"[0, 37, 38, 60]"
59804c675feae328bfcf0947,0.0714285746216774,5,"[0, 37, 38, 60, 65]"
59804c715feae328bfcf0ca7,0.0714285746216774,5,"[0, 37, 38, 60, 72]"
59804c495feae328bfcf0571,0.1071428582072258,4,"[0, 37, 38, 65]"
59804c675feae328bfcf0990,0.1071428582072258,5,"[0, 37, 38, 65, 72]"
59804c665feae328bfcf0911,0.1071428582072258,4,"[0, 37, 38, 72]"
